id,first_name,last_name,email,phone,state,orders_count,total_spent,created_at,accepts_marketing,_fivetran_synced
1,Emma,Thompson,emma.thompson@gmail.com,+447700900001,enabled,15,425.50,2022-07-20 09:15:23,TRUE,2025-07-19 10:00:00
2,Sophie,Williams,sophie.williams@hotmail.co.uk,+447700900002,enabled,8,312.75,2022-07-22 14:30:45,TRUE,2025-07-19 10:00:00
3,Charlotte,Brown,charlotte.brown@outlook.com,+447700900003,enabled,22,789.25,2022-07-25 11:45:12,FALSE,2025-07-19 10:00:00
4,Olivia,Johnson,olivia.johnson@yahoo.co.uk,+447700900004,enabled,12,456.80,2022-08-01 16:20:33,TRUE,2025-07-19 10:00:00
5,Amelia,Jones,amelia.jones@gmail.com,+447700900005,enabled,5,198.50,2022-08-03 10:05:17,TRUE,2025-07-19 10:00:00
6,Isabella,Miller,isabella.miller@btinternet.com,+447700900006,enabled,18,623.90,2022-08-08 13:42:56,FALSE,2025-07-19 10:00:00
7,Lily,Davis,lily.davis@gmail.com,+447700900007,enabled,9,287.65,2022-08-12 15:18:09,TRUE,2025-07-19 10:00:00
8,Grace,Wilson,grace.wilson@hotmail.co.uk,+447700900008,enabled,14,534.20,2022-08-15 12:33:44,TRUE,2025-07-19 10:00:00
9,Ella,Moore,ella.moore@outlook.com,+447700900009,enabled,7,245.30,2022-08-20 09:27:18,FALSE,2025-07-19 10:00:00
10,Scarlett,Taylor,scarlett.taylor@gmail.com,+447700900010,enabled,16,598.75,2022-08-22 17:55:02,TRUE,2025-07-19 10:00:00
11,Chloe,Anderson,chloe.anderson@yahoo.co.uk,+447700900011,enabled,11,389.40,2022-08-28 14:12:35,TRUE,2025-07-19 10:00:00
12,Mia,Thomas,mia.thomas@gmail.com,+447700900012,enabled,6,156.80,2022-09-02 11:08:21,FALSE,2025-07-19 10:00:00
13,Ruby,Jackson,ruby.jackson@hotmail.co.uk,+447700900013,enabled,19,712.15,2022-09-05 16:44:17,TRUE,2025-07-19 10:00:00
14,Poppy,White,poppy.white@outlook.com,+447700900014,enabled,8,298.90,2022-09-10 10:36:52,TRUE,2025-07-19 10:00:00
15,Freya,Harris,freya.harris@gmail.com,+447700900015,enabled,13,467.30,2022-09-15 13:21:08,FALSE,2025-07-19 10:00:00
16,Hannah,Martin,hannah.martin@btinternet.com,+447700900016,enabled,4,125.40,2022-09-18 15:47:33,TRUE,2025-07-19 10:00:00
17,Evie,Thompson,evie.thompson@gmail.com,+447700900017,enabled,21,823.60,2022-09-22 12:15:46,TRUE,2025-07-19 10:00:00
18,Aria,Garcia,aria.garcia@yahoo.co.uk,+447700900018,enabled,10,356.75,2022-09-25 09:58:19,FALSE,2025-07-19 10:00:00
19,Ivy,Martinez,ivy.martinez@hotmail.co.uk,+447700900019,enabled,7,234.50,2022-09-30 14:33:05,TRUE,2025-07-19 10:00:00
20,Zoe,Robinson,zoe.robinson@outlook.com,+447700900020,enabled,15,578.25,2022-10-03 11:26:42,TRUE,2025-07-19 10:00:00
21,Maya,Clark,maya.clark@gmail.com,+447700900021,enabled,9,312.90,2022-10-08 16:19:37,FALSE,2025-07-19 10:00:00
22,Willow,Rodriguez,willow.rodriguez@btinternet.com,+447700900022,enabled,12,445.80,2022-10-12 13:52:14,TRUE,2025-07-19 10:00:00
23,Phoebe,Lewis,phoebe.lewis@gmail.com,+447700900023,enabled,6,187.65,2022-10-18 10:41:29,TRUE,2025-07-19 10:00:00
24,Violet,Lee,violet.lee@yahoo.co.uk,+447700900024,enabled,17,634.40,2022-10-20 15:07:56,FALSE,2025-07-19 10:00:00
25,Daisy,Walker,daisy.walker@hotmail.co.uk,+447700900025,enabled,8,267.30,2022-10-25 12:34:18,TRUE,2025-07-19 10:00:00
26,Luna,Hall,luna.hall@outlook.com,+447700900026,enabled,14,523.70,2022-10-30 09:16:43,TRUE,2025-07-19 10:00:00
27,Rose,Allen,rose.allen@gmail.com,+447700900027,enabled,11,398.50,2022-11-02 14:48:21,FALSE,2025-07-19 10:00:00
