id,email,first_name,last_name,phone_number,city,country,region,zip,timezone,created,updated,properties,_fivetran_synced
01HJ6KP3K8Z9X7VWQN1MH3R5TA,emma.thompson@gmail.com,Emma,Thompson,+447700900001,Glasgow,United Kingdom,Scotland,G1 1AA,Europe/London,2022-07-18 09:15:23,2022-11-15 14:20:15,"{""accepts_marketing"": true, ""customer_status"": ""vip"", ""total_spent"": 425.50}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TB,sophie.williams@hotmail.co.uk,Sophie,Williams,+447700900002,Edinburgh,United Kingdom,Scotland,EH1 1AA,Europe/London,2022-07-20 14:30:45,2022-10-28 16:45:30,"{""accepts_marketing"": true, ""customer_status"": ""returning"", ""total_spent"": 312.75}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TC,charlotte.brown@outlook.com,Charlotte,Brown,+447700900003,Birmingham,United Kingdom,England,B1 1AA,Europe/London,2022-07-23 11:45:12,2022-12-05 09:30:22,"{""accepts_marketing"": false, ""customer_status"": ""vip"", ""total_spent"": 789.25}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TD,olivia.johnson@yahoo.co.uk,Olivia,Johnson,+447700900004,Manchester,United Kingdom,England,M1 1AA,Europe/London,2022-07-30 16:20:33,2022-11-22 13:15:45,"{""accepts_marketing"": true, ""customer_status"": ""returning"", ""total_spent"": 456.80}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TE,bonnie.perez@yahoo.co.uk,Bonnie,Perez,+447700900010,Liverpool,United Kingdom,England,L1 8AA,Europe/London,2022-07-19 08:30:15,2022-09-14 11:45:30,"{""accepts_marketing"": true, ""customer_status"": ""new"", ""total_spent"": 58.02}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TF,lola.baker@hotmail.co.uk,Lola,Baker,+447700900011,Leeds,United Kingdom,England,LS1 1AA,Europe/London,2022-07-19 12:00:07,2022-08-25 14:22:18,"{""accepts_marketing"": true, ""customer_status"": ""new"", ""total_spent"": 22.96}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TG,delilah.roberts@hotmail.co.uk,Delilah,Roberts,+447700900012,Newcastle,United Kingdom,England,NE1 1AA,Europe/London,2022-07-19 07:30:00,2022-10-10 16:30:45,"{""accepts_marketing"": false, ""customer_status"": ""returning"", ""total_spent"": 46.07}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TH,lottie.phillips@gmail.com,Lottie,Phillips,+447700900013,Bristol,United Kingdom,England,BS1 1AA,Europe/London,2022-07-20 09:30:23,2022-12-01 10:15:30,"{""accepts_marketing"": true, ""customer_status"": ""vip"", ""total_spent"": 79.84}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TI,alice.wilson@gmail.com,Alice,Wilson,+447700900014,London,United Kingdom,England,SW1A 1AA,Europe/London,2022-08-05 15:45:12,2022-11-30 12:00:00,"{""accepts_marketing"": true, ""customer_status"": ""returning"", ""total_spent"": 234.50}",2024-12-01 00:00:00
01HJ6KP3K8Z9X7VWQN1MH3R5TJ,grace.taylor@outlook.com,Grace,Taylor,+447700900015,Cardiff,United Kingdom,Wales,CF10 1AA,Europe/London,2022-08-12 11:20:30,2022-10-15 14:45:20,"{""accepts_marketing"": false, ""customer_status"": ""new"", ""total_spent"": 67.30}",2024-12-01 00:00:00
