id,first_name,last_name,email,phone,state,orders_count,total_spent,created_at,accepts_marketing,_fivetran_synced
1,Emma,Thompson,emma.thompson@gmail.com,447700900001,enabled,15,425.5,2025-03-02 09:37:00,True,2025-07-19 10:00:00
2,Sophie,Williams,sophie.williams@hotmail.co.uk,447700900002,enabled,8,312.75,2024-05-26 09:37:00,True,2025-07-19 10:00:00
3,Charlotte,Brown,charlotte.brown@outlook.com,447700900003,enabled,22,789.25,2024-05-14 09:37:00,False,2025-07-19 10:00:00
4,Olivia,Johnson,olivia.johnson@yahoo.co.uk,447700900004,enabled,12,456.8,2023-12-06 09:37:00,True,2025-07-19 10:00:00
5,Amelia,Jones,amelia.jones@gmail.com,447700900005,enabled,5,198.5,2025-02-04 09:37:00,True,2025-07-19 10:00:00
6,Isabella,Miller,isabella.miller@btinternet.com,447700900006,enabled,18,623.9,2022-12-02 09:37:00,False,2025-07-19 10:00:00
7,Lily,Davis,lily.davis@gmail.com,447700900007,enabled,9,287.65,2024-12-04 09:37:00,True,2025-07-19 10:00:00
8,Grace,Wilson,grace.wilson@hotmail.co.uk,447700900008,enabled,14,534.2,2025-02-12 09:37:00,True,2025-07-19 10:00:00
9,Ella,Moore,ella.moore@outlook.com,447700900009,enabled,7,245.3,2025-03-18 09:37:00,False,2025-07-19 10:00:00
10,Scarlett,Taylor,scarlett.taylor@gmail.com,447700900010,enabled,16,598.75,2024-04-13 09:37:00,True,2025-07-19 10:00:00
11,Chloe,Anderson,chloe.anderson@yahoo.co.uk,447700900011,enabled,11,389.4,2023-11-27 09:37:00,True,2025-07-19 10:00:00
12,Mia,Thomas,mia.thomas@gmail.com,447700900012,enabled,6,156.8,2025-03-05 09:37:00,False,2025-07-19 10:00:00
13,Ruby,Jackson,ruby.jackson@hotmail.co.uk,447700900013,enabled,19,712.15,2025-04-17 09:37:00,True,2025-07-19 10:00:00
14,Poppy,White,poppy.white@outlook.com,447700900014,enabled,8,298.9,2022-12-23 09:37:00,True,2025-07-19 10:00:00
15,Freya,Harris,freya.harris@gmail.com,447700900015,enabled,13,467.3,2023-01-01 09:37:00,False,2025-07-19 10:00:00
16,Hannah,Martin,hannah.martin@btinternet.com,447700900016,enabled,4,125.4,2023-12-15 09:37:00,True,2025-07-19 10:00:00
17,Evie,Thompson,evie.thompson@gmail.com,447700900017,enabled,21,823.6,2023-12-13 09:37:00,True,2025-07-19 10:00:00
18,Aria,Garcia,aria.garcia@yahoo.co.uk,447700900018,enabled,10,356.75,2025-07-11 19:58:05,False,2025-07-19 10:00:00
19,Ivy,Martinez,ivy.martinez@hotmail.co.uk,447700900019,enabled,7,234.5,2025-07-03 19:58:05,True,2025-07-19 10:00:00
20,Zoe,Robinson,zoe.robinson@outlook.com,447700900020,enabled,15,578.25,2023-10-08 09:37:00,True,2025-07-19 10:00:00
21,Maya,Clark,maya.clark@gmail.com,447700900021,enabled,9,312.9,2025-07-02 09:37:00,False,2025-07-19 10:00:00
22,Willow,Rodriguez,willow.rodriguez@btinternet.com,447700900022,enabled,12,445.8,2025-07-07 19:58:05,True,2025-07-19 10:00:00
23,Phoebe,Lewis,phoebe.lewis@gmail.com,447700900023,enabled,6,187.65,2025-02-25 09:37:00,True,2025-07-19 10:00:00
24,Violet,Lee,violet.lee@yahoo.co.uk,447700900024,enabled,17,634.4,2025-01-01 09:37:00,False,2025-07-19 10:00:00
25,Daisy,Walker,daisy.walker@hotmail.co.uk,447700900025,enabled,8,267.3,2022-12-31 09:37:00,True,2025-07-19 10:00:00
26,Luna,Hall,luna.hall@outlook.com,447700900026,enabled,14,523.7,2025-07-07 19:58:05,True,2025-07-19 10:00:00
27,Rose,Allen,rose.allen@gmail.com,447700900027,enabled,11,398.5,2023-01-09 09:37:00,False,2025-07-19 10:00:00
28,Iris,Young,iris.young@btinternet.com,447700900028,enabled,5,145.2,2022-10-07 09:37:00,True,2025-07-19 10:00:00
29,Jasmine,Hernandez,jasmine.hernandez@gmail.com,447700900029,enabled,18,689.9,2024-01-31 09:37:00,True,2025-07-19 10:00:00
