id,customer_id,email,created_at,processed_at,currency,total_price,subtotal_price,total_tax,financial_status,fulfillment_status,location_id,_fivetran_synced
1,42,bonnie.perez@yahoo.co.uk,2022-07-19 10:45:12,2022-07-19 12:16:12,GBP,58.02,48.35,9.67,pending,fulfilled,1,2025-07-19 10:00:00
2,37,lola.baker@hotmail.co.uk,2022-07-19 13:00:07,2022-07-19 16:31:07,GBP,22.96,19.13,3.83,paid,fulfilled,4,2025-07-19 10:00:00
3,43,delilah.roberts@hotmail.co.uk,2022-07-19 09:37:00,2022-07-19 11:12:00,GBP,46.07,38.39,7.68,paid,fulfilled,4,2025-07-19 10:00:00
4,45,lottie.phillips@gmail.com,2022-07-20 11:03:23,2022-07-20 12:30:23,GBP,79.84,66.53,13.31,paid,fulfilled,4,2025-07-19 10:00:00
5,47,amelie.parker@gmail.com,2022-07-20 10:46:13,2022-07-20 12:05:13,GBP,28.44,23.7,4.74,paid,fulfilled,4,2025-07-19 10:00:00
6,48,orla.evans@yahoo.co.uk,2022-07-20 19:14:20,2022-07-20 20:27:20,GBP,19.44,16.2,3.24,paid,fulfilled,4,2025-07-19 10:00:00
7,47,amelie.parker@gmail.com,2022-07-21 14:46:54,2022-07-21 17:13:54,GBP,38.84,32.37,6.47,paid,fulfilled,4,2025-07-19 10:00:00
8,2,sophie.williams@hotmail.co.uk,2022-07-21 10:48:08,2022-07-21 12:31:08,GBP,86.41,72.01,14.4,paid,partial,4,2025-07-19 10:00:00
9,50,margot.collins@outlook.com,2022-07-21 19:18:13,2022-07-21 22:14:13,GBP,40.55,33.79,6.76,paid,fulfilled,4,2025-07-19 10:00:00
10,12,mia.thomas@gmail.com,2022-07-22 18:41:46,2022-07-22 20:13:46,GBP,83.12,69.27,13.85,paid,fulfilled,3,2025-07-19 10:00:00
11,17,evie.thompson@gmail.com,2022-07-22 17:06:11,2022-07-22 18:53:11,GBP,65.0,54.17,10.83,paid,fulfilled,4,2025-07-19 10:00:00
12,18,aria.garcia@yahoo.co.uk,2022-07-23 17:10:54,2022-07-23 20:56:54,GBP,19.93,16.61,3.32,paid,fulfilled,3,2025-07-19 10:00:00
13,39,imogen.nelson@gmail.com,2022-07-23 16:29:01,2022-07-23 17:17:01,GBP,20.42,17.02,3.4,paid,fulfilled,4,2025-07-19 10:00:00
14,46,martha.campbell@btinternet.com,2022-07-23 11:58:29,2022-07-23 15:50:29,GBP,73.2,61.0,12.2,paid,fulfilled,4,2025-07-19 10:00:00
15,49,holly.edwards@hotmail.co.uk,2022-07-24 15:40:59,2022-07-24 18:08:59,GBP,52.36,43.63,8.73,paid,fulfilled,4,2025-07-19 10:00:00
16,29,jasmine.hernandez@gmail.com,2022-07-25 08:43:00,2022-07-25 11:04:00,GBP,72.88,60.73,12.15,paid,partial,4,2025-07-19 10:00:00
17,17,evie.thompson@gmail.com,2022-07-26 18:54:44,2022-07-26 21:22:44,GBP,37.69,31.41,6.28,paid,fulfilled,4,2025-07-19 10:00:00
18,40,florence.carter@btinternet.com,2022-07-26 14:27:14,2022-07-26 16:31:14,GBP,54.68,45.57,9.11,paid,fulfilled,4,2025-07-19 10:00:00
19,50,margot.collins@outlook.com,2022-07-26 20:36:51,2022-07-27 00:11:51,GBP,29.7,24.75,4.95,paid,fulfilled,4,2025-07-19 10:00:00
20,11,chloe.anderson@yahoo.co.uk,2022-07-27 14:55:17,2022-07-27 16:38:17,GBP,21.65,18.04,3.61,paid,partial,4,2025-07-19 10:00:00
21,24,violet.lee@yahoo.co.uk,2022-07-28 14:21:00,2022-07-28 14:58:00,GBP,68.29,56.91,11.38,paid,pending,4,2025-07-19 10:00:00
22,49,holly.edwards@hotmail.co.uk,2022-07-29 09:49:25,2022-07-29 13:29:25,GBP,19.27,16.06,3.21,paid,fulfilled,4,2025-07-19 10:00:00
23,33,hazel.hill@gmail.com,2022-07-29 12:22:30,2022-07-29 15:25:30,GBP,26.46,22.05,4.41,paid,fulfilled,4,2025-07-19 10:00:00
24,10,scarlett.taylor@gmail.com,2022-07-30 18:33:18,2022-07-30 21:09:18,GBP,58.52,48.77,9.75,paid,pending,4,2025-07-19 10:00:00
25,19,ivy.martinez@hotmail.co.uk,2022-07-30 17:06:16,2022-07-30 19:07:16,GBP,45.44,37.87,7.57,paid,pending,4,2025-07-19 10:00:00
26,2,sophie.williams@hotmail.co.uk,2022-07-31 11:35:46,2022-07-31 13:17:46,GBP,129.28,107.73,21.55,paid,fulfilled,4,2025-07-19 10:00:00
27,41,arabella.mitchell@gmail.com,2022-07-31 17:56:02,2022-07-31 18:59:02,GBP,24.54,20.45,4.09,paid,fulfilled,4,2025-07-19 10:00:00
28,5,amelia.jones@gmail.com,2022-07-31 16:03:37,2022-07-31 16:43:37,GBP,71.29,59.41,11.88,paid,fulfilled,4,2025-07-19 10:00:00
29,25,daisy.walker@hotmail.co.uk,2022-07-31 20:51:56,2022-07-31 21:35:56,GBP,169.61,141.34,28.27,paid,pending,4,2025-07-19 10:00:00
30,18,aria.garcia@yahoo.co.uk,2022-08-01 16:16:22,2022-08-01 19:46:22,GBP,35.18,29.32,5.86,pending,fulfilled,4,2025-07-19 10:00:00
31,12,mia.thomas@gmail.com,2022-08-01 08:59:54,2022-08-01 12:20:54,GBP,141.3,117.75,23.55,paid,fulfilled,4,2025-07-19 10:00:00
32,44,robyn.turner@outlook.com,2022-08-02 13:18:30,2022-08-02 14:06:30,GBP,94.31,78.59,15.72,paid,partial,4,2025-07-19 10:00:00
33,4,olivia.johnson@yahoo.co.uk,2022-08-03 16:16:20,2022-08-03 18:51:20,GBP,23.74,19.78,3.96,paid,fulfilled,4,2025-07-19 10:00:00
34,18,aria.garcia@yahoo.co.uk,2022-08-03 19:42:26,2022-08-03 23:32:26,GBP,178.79,148.99,29.8,pending,fulfilled,4,2025-07-19 10:00:00
35,37,lola.baker@hotmail.co.uk,2022-08-03 16:44:38,2022-08-03 20:13:38,GBP,56.59,47.16,9.43,paid,partial,4,2025-07-19 10:00:00
36,20,zoe.robinson@outlook.com,2022-08-03 09:19:00,2022-08-03 11:09:00,GBP,52.36,43.63,8.73,paid,fulfilled,4,2025-07-19 10:00:00
37,35,eden.green@gmail.com,2022-08-04 14:44:18,2022-08-04 17:34:18,GBP,85.39,71.16,14.23,paid,fulfilled,4,2025-07-19 10:00:00
38,7,lily.davis@gmail.com,2022-08-04 16:53:22,2022-08-04 17:48:22,GBP,20.42,17.02,3.4,paid,fulfilled,4,2025-07-19 10:00:00
39,31,aurora.wright@hotmail.co.uk,2022-08-04 20:07:48,2022-08-04 22:59:48,GBP,35.44,29.53,5.91,paid,fulfilled,4,2025-07-19 10:00:00
40,23,phoebe.lewis@gmail.com,2022-08-05 16:29:07,2022-08-05 19:26:07,GBP,79.63,66.36,13.27,paid,fulfilled,4,2025-07-19 10:00:00
41,13,ruby.jackson@hotmail.co.uk,2022-08-06 17:15:23,2022-08-06 18:01:23,GBP,20.05,16.71,3.34,paid,partial,4,2025-07-19 10:00:00
42,45,lottie.phillips@gmail.com,2022-08-07 08:25:22,2022-08-07 09:09:22,GBP,39.73,33.11,6.62,paid,fulfilled,4,2025-07-19 10:00:00
43,6,isabella.miller@btinternet.com,2022-08-07 12:20:01,2022-08-07 15:28:01,GBP,23.2,19.33,3.87,paid,fulfilled,1,2025-07-19 10:00:00
44,16,hannah.martin@btinternet.com,2022-08-07 10:56:38,2022-08-07 13:29:38,GBP,156.89,130.74,26.15,paid,fulfilled,4,2025-07-19 10:00:00
45,17,evie.thompson@gmail.com,2022-08-08 20:15:04,2022-08-08 23:52:04,GBP,52.8,44.0,8.8,refunded,fulfilled,4,2025-07-19 10:00:00
46,37,lola.baker@hotmail.co.uk,2022-08-08 11:51:07,2022-08-08 14:33:07,GBP,30.78,25.65,5.13,paid,fulfilled,4,2025-07-19 10:00:00
47,17,evie.thompson@gmail.com,2022-08-08 20:54:49,2022-08-09 00:22:49,GBP,41.52,34.6,6.92,paid,fulfilled,4,2025-07-19 10:00:00
48,29,jasmine.hernandez@gmail.com,2022-08-09 09:41:31,2022-08-09 10:56:31,GBP,57.64,48.03,9.61,paid,fulfilled,4,2025-07-19 10:00:00
49,19,ivy.martinez@hotmail.co.uk,2022-08-09 15:00:29,2022-08-09 18:39:29,GBP,26.26,21.88,4.38,paid,fulfilled,4,2025-07-19 10:00:00
50,13,ruby.jackson@hotmail.co.uk,2022-08-10 11:34:07,2022-08-10 14:41:07,GBP,42.02,35.02,7.0,paid,fulfilled,1,2025-07-19 10:00:00
